County,Year,% High School,% Bachelor's or Higher,% Unemployment Rate,% Income < 50000,Square Land Miles,% Hispanic,% Black,% Native American,% Asian,% Hawaiian,% Other Races,% More Than One Races,% Male,% Female,% Diversity Index 2020,Eligible Voters,Total Population,Total_Votes,Prev Democratic Vote Share
Adams,2016,0.867,0.21600000000000003,0.035,0.4,518.7,0.066,0.013999999999999999,0.001,0.006999999999999999,0.0,0.035,0.021,0.494,0.506,0.243,78369.0,"101,759",47489.0,0.3554
Adams,2020,0.795,0.293,0.024,0.354,518.7,0.07200000000000001,0.016,0.002,0.006999999999999999,0.0,0.022000000000000002,0.025,0.49200000000000005,0.508,0.243,79853.0,"102,627",56540.0,0.2994
Allegheny,2016,0.9440000000000001,0.415,0.040999999999999995,0.462,730.0,0.019,0.13,0.001,0.034,0.0,0.004,0.025,0.48200000000000004,0.518,0.4158,961595.0,"1,230,360",650114.0,0.5669
Allegheny,2020,0.562,0.64,0.032,0.406,730.0,0.022000000000000002,0.13,0.001,0.039,0.0,0.008,0.031,0.484,0.516,0.4158,956112.0,"1,218,380",719733.0,0.5655
Armstrong,2016,0.885,0.162,0.044000000000000004,0.537,653.3,0.006999999999999999,0.009000000000000001,0.0,0.003,0.0,0.001,0.008,0.496,0.504,0.0953,54155.0,"67,512",31618.0,0.3056
Armstrong,2020,0.955,0.299,0.032,0.461,653.3,0.008,0.009000000000000001,0.0,0.003,0.0,0.001,0.013000000000000001,0.496,0.504,0.0953,52672.0,"65,356",36370.0,0.22699999999999998
Beaver,2016,0.924,0.257,0.038,0.483,434.7,0.013999999999999999,0.061,0.0,0.005,0.0,0.003,0.022000000000000002,0.485,0.515,0.2614,134972.0,"169,205",83571.0,0.46049999999999996
Beaver,2020,0.718,0.375,0.031,0.425,434.7,0.017,0.059000000000000004,0.001,0.005,0.0,0.004,0.034,0.484,0.516,0.2614,132008.0,"164,781",94122.0,0.3893
Bedford,2016,0.975,0.23,0.037000000000000005,0.528,"1,012.2",0.011000000000000001,0.005,0.002,0.002,0.0,0.003,0.011000000000000001,0.5,0.5,0.0894,38649.0,"48,852",23637.0,0.2207
Bedford,2020,0.975,0.23,0.026000000000000002,0.48700000000000004,"1,012.2",0.012,0.01,0.001,0.002,0.0,0.001,0.011000000000000001,0.493,0.507,0.0894,38594.0,"48,154",27574.0,0.1542
Berks,2016,0.8640000000000001,0.25,0.054000000000000006,0.43700000000000006,856.4,0.188,0.048,0.009000000000000001,0.013999999999999999,0.0,0.042,0.051,0.49200000000000005,0.508,0.48210000000000003,306016.0,"414,097",183065.0,0.4874
Berks,2020,0.752,0.363,0.036000000000000004,0.374,856.4,0.218,0.052000000000000005,0.003,0.015,0.0,0.066,0.063,0.49200000000000005,0.508,0.48210000000000003,311969.0,"419,062",205540.0,0.4285
Blair,2016,0.917,0.183,0.034,0.547,525.3,0.011000000000000001,0.016,0.0,0.006999999999999999,0.0,0.003,0.015,0.49,0.51,0.1514,99495.0,"125,917",54909.0,0.324
Blair,2020,0.812,0.355,0.027000000000000003,0.49200000000000005,525.3,0.013000000000000001,0.018000000000000002,0.001,0.006,0.0,0.002,0.02,0.489,0.511,0.1514,96993.0,"122,495",63595.0,0.25420000000000004
Bradford,2016,0.9620000000000001,0.272,0.031,0.491,"1,147.5",0.013999999999999999,0.006,0.001,0.006999999999999999,0.0,0.004,0.012,0.494,0.506,0.135,47852.0,"61,808",25708.0,0.36810000000000004
Bradford,2020,0.9620000000000001,0.272,0.027000000000000003,0.475,"1,147.5",0.015,0.006999999999999999,0.001,0.006,0.001,0.005,0.017,0.495,0.505,0.135,46882.0,"60,721",30159.0,0.2477
Bucks,2016,0.9359999999999999,0.401,0.042,0.307,604.4,0.049,0.039,0.001,0.044000000000000004,0.0,0.01,0.018000000000000002,0.49,0.51,0.3398,474049.0,"626,220",344297.0,0.5
Bucks,2020,0.627,0.619,0.027999999999999997,0.254,604.4,0.055,0.039,0.001,0.048,0.0,0.021,0.034,0.491,0.509,0.3398,481698.0,"627,668",396234.0,0.4852
Butler,2016,0.95,0.364,0.033,0.39299999999999996,789.5,0.013000000000000001,0.011000000000000001,0.001,0.01,0.0,0.002,0.013000000000000001,0.494,0.506,0.1536,145675.0,"185,974",97071.0,0.31920000000000004
Butler,2020,0.679,0.51,0.028999999999999998,0.335,789.5,0.016,0.01,0.0,0.013000000000000001,0.0,0.003,0.019,0.496,0.504,0.1536,148395.0,"187,798",113305.0,0.2945
Cambria,2016,0.919,0.222,0.046,0.564,687.5,0.015,0.033,0.001,0.005,0.0,0.003,0.02,0.493,0.507,0.1966,110411.0,"137,762",63072.0,0.4006
Cambria,2020,0.7929999999999999,0.307,0.027999999999999997,0.519,687.5,0.017,0.036000000000000004,0.0,0.005,0.0,0.004,0.023,0.49200000000000005,0.508,0.1966,105847.0,"131,611",70574.0,0.2991
Cameron,2016,1.1440000000000001,0.115,0.027000000000000003,0.619,396.2,0.008,0.006,0.001,0.002,0.0,0.001,0.011000000000000001,0.506,0.494,0.1165,3937.0,"4,807",2186.0,0.34299999999999997
Cameron,2020,1.1440000000000001,0.115,0.055999999999999994,0.64,396.2,0.008,0.002,0.002,0.002,0.0,0.0,0.044000000000000004,0.49,0.51,0.1165,3778.0,"4,512",2434.0,0.2429
Carbon,2016,0.8909999999999999,0.17300000000000001,0.048,0.49,381.3,0.040999999999999995,0.018000000000000002,0.002,0.005,0.0,0.003,0.011000000000000001,0.49700000000000005,0.503,0.2087,51117.0,"64,330",28776.0,0.45270000000000005
Carbon,2020,0.885,0.28300000000000003,0.031,0.446,381.3,0.051,0.023,0.003,0.006,0.0,0.005,0.02,0.495,0.505,0.2087,51159.0,"63,964",33629.0,0.3105
Centre,2016,0.9520000000000001,0.483,0.027999999999999997,0.46399999999999997,"1,108.7",0.027999999999999997,0.038,0.002,0.057999999999999996,0.0,0.005,0.017,0.525,0.475,0.31920000000000004,126496.0,"159,178",76148.0,0.49090000000000006
Centre,2020,0.58,0.551,0.023,0.41200000000000003,"1,108.7",0.03,0.034,0.001,0.063,0.0,0.004,0.025,0.526,0.474,0.31920000000000004,129351.0,"162,264",77493.0,0.48710000000000003
Chester,2016,0.9329999999999999,0.511,0.037000000000000005,0.27899999999999997,750.5,0.071,0.057999999999999996,0.001,0.046,0.0,0.011000000000000001,0.021,0.49200000000000005,0.508,0.4093,367554.0,"512,028",268800.0,0.49340000000000006
Chester,2020,0.515,0.748,0.027999999999999997,0.225,750.5,0.075,0.057,0.001,0.057,0.0,0.016,0.036000000000000004,0.493,0.507,0.4093,379376.0,"521,980",314502.0,0.5271
Clarion,2016,0.758,0.331,0.04,0.568,600.8,0.008,0.012,0.001,0.006,0.0,0.003,0.01,0.488,0.512,0.11460000000000001,31394.0,"38,939",17535.0,0.3124
Clarion,2020,0.758,0.331,0.035,0.503,600.8,0.01,0.015,0.001,0.004,0.0,0.001,0.018000000000000002,0.49200000000000005,0.508,0.11460000000000001,31221.0,"38,633",19493.0,0.2437
Clearfield,2016,0.86,0.141,0.044000000000000004,0.565,"1,145.3",0.027999999999999997,0.025,0.002,0.005,0.0,0.003,0.012,0.521,0.479,0.16899999999999998,64074.0,"81,170",34271.0,0.3479
Clearfield,2020,1.028,0.26,0.040999999999999995,0.499,"1,145.3",0.03,0.027999999999999997,0.002,0.005,0.0,0.004,0.019,0.527,0.473,0.16899999999999998,63159.0,"79,466",39422.0,0.23929999999999998
Clinton,2016,0.8420000000000001,0.28300000000000003,0.038,0.531,888.0,0.013999999999999999,0.016,0.001,0.006,0.0,0.003,0.011000000000000001,0.49,0.51,0.1286,31165.0,"39,536",15394.0,0.43229999999999996
Clinton,2020,0.8420000000000001,0.28300000000000003,0.034,0.486,888.0,0.016,0.017,0.002,0.008,0.0,0.003,0.011000000000000001,0.49700000000000005,0.503,0.1286,30613.0,"38,549",17625.0,0.30820000000000003
Columbia,2016,0.893,0.22899999999999998,0.03,0.524,483.2,0.025,0.018000000000000002,0.002,0.012,0.0,0.006999999999999999,0.01,0.48100000000000004,0.519,0.1716,54050.0,"66,772",28228.0,0.4268
Columbia,2020,0.706,0.344,0.026000000000000002,0.479,483.2,0.03,0.017,0.001,0.012,0.002,0.006999999999999999,0.015,0.48100000000000004,0.519,0.1716,53342.0,"65,390",31171.0,0.3165
Crawford,2016,0.895,0.221,0.039,0.541,"1,012.4",0.012,0.019,0.0,0.005,0.0,0.002,0.015,0.489,0.511,0.1489,67804.0,"87,027",37492.0,0.3923
Crawford,2020,0.851,0.257,0.033,0.483,"1,012.4",0.013999999999999999,0.015,0.0,0.005,0.0,0.005,0.022000000000000002,0.48700000000000004,0.513,0.1489,67023.0,"85,074",42004.0,0.2926
Cumberland,2016,0.915,0.36,0.033,0.39,545.5,0.034,0.036000000000000004,0.001,0.037000000000000005,0.0,0.012,0.024,0.494,0.506,0.3245,187841.0,"243,838",121617.0,0.4004
Cumberland,2020,0.5870000000000001,0.48,0.022000000000000002,0.336,545.5,0.042,0.040999999999999995,0.001,0.046,0.0,0.012,0.032,0.495,0.505,0.3245,193774.0,"251,487",141595.0,0.3872
Dauphin,2016,0.9,0.325,0.04,0.44799999999999995,524.9,0.08199999999999999,0.183,0.002,0.038,0.0,0.027000000000000003,0.032,0.484,0.516,0.5799,202403.0,"271,962",130872.0,0.5239
Dauphin,2020,0.7040000000000001,0.45799999999999996,0.028999999999999998,0.382,524.9,0.09699999999999999,0.195,0.004,0.048,0.0,0.027999999999999997,0.04,0.485,0.515,0.5799,205351.0,"277,071",147368.0,0.49439999999999995
Delaware,2016,0.929,0.384,0.049,0.38299999999999995,183.8,0.035,0.21,0.001,0.053,0.0,0.01,0.021,0.48,0.52,0.5476,414375.0,"562,316",297634.0,0.6015999999999999
Delaware,2020,0.61,0.534,0.040999999999999995,0.33899999999999997,183.8,0.04,0.21600000000000003,0.002,0.057999999999999996,0.001,0.013000000000000001,0.032,0.48100000000000004,0.519,0.5476,418456.0,"565,328",327931.0,0.596
Elk,2016,0.914,0.289,0.031,0.517,826.9,0.006999999999999999,0.005,0.002,0.005,0.0,0.003,0.005,0.5,0.5,0.09480000000000001,24881.0,"31,111",14426.0,0.4127
Elk,2020,0.914,0.289,0.039,0.45,826.9,0.008,0.006,0.001,0.005,0.0,0.001,0.015,0.507,0.493,0.09480000000000001,24244.0,"30,077",16906.0,0.2671
Erie,2016,0.922,0.28,0.043,0.524,798.9,0.039,0.071,0.003,0.015,0.0,0.009000000000000001,0.027999999999999997,0.493,0.507,0.3354,212468.0,"279,133",123679.0,0.5736
Erie,2020,0.722,0.402,0.033,0.47700000000000004,798.9,0.044000000000000004,0.071,0.002,0.018000000000000002,0.0,0.013000000000000001,0.038,0.494,0.506,0.3354,209151.0,"272,046",137083.0,0.46990000000000004
Fayette,2016,0.877,0.163,0.040999999999999995,0.578,790.8,0.01,0.040999999999999995,0.001,0.002,0.002,0.003,0.024,0.493,0.507,0.1946,107353.0,"134,229",53767.0,0.45299999999999996
Fayette,2020,0.946,0.3,0.04,0.508,790.8,0.013000000000000001,0.040999999999999995,0.0,0.004,0.001,0.005,0.027999999999999997,0.496,0.504,0.1946,104206.0,"130,329",62139.0,0.33380000000000004
Forest,2016,1.162,0.13,0.006999999999999999,0.695,427.3,0.075,0.316,0.005,0.006,0.0,0.031,0.021,0.785,0.215,0.3933,7125.0,"7,493",2401.0,0.3875
Forest,2020,1.162,0.13,0.011000000000000001,0.616,427.3,0.057999999999999996,0.21600000000000003,0.001,0.001,0.0,0.017,0.025,0.695,0.305,0.3933,6749.0,"7,190",2646.0,0.2607
Franklin,2016,0.8809999999999999,0.21600000000000003,0.04,0.445,772.3,0.051,0.038,0.002,0.01,0.0,0.006,0.013000000000000001,0.491,0.509,0.2701,115150.0,"152,707",69731.0,0.3011
Franklin,2020,0.826,0.319,0.024,0.375,772.3,0.06,0.040999999999999995,0.002,0.006999999999999999,0.0,0.01,0.024,0.491,0.509,0.2701,117578.0,"154,954",80783.0,0.2505
