County,year,pop18
Adams,2016.0,78369.0
Adams,2020.0,79853.0
Allegheny,2016.0,961595.0
Allegheny,2020.0,956112.0
Armstrong,2016.0,54155.0
Armstrong,2020.0,52672.0
Beaver,2016.0,134972.0
Beaver,2020.0,132008.0
Bedford,2016.0,38649.0
Bedford,2020.0,38594.0
Berks,2016.0,306016.0
Berks,2020.0,311969.0
Blair,2016.0,99495.0
Blair,2020.0,96993.0
Bradford,2016.0,47852.0
Bradford,2020.0,46882.0
Bucks,2016.0,474049.0
Bucks,2020.0,481698.0
Butler,2016.0,145675.0
Butler,2020.0,148395.0
Cambria,2016.0,110411.0
Cambria,2020.0,105847.0
Cameron,2016.0,3937.0
Cameron,2020.0,3778.0
Carbon,2016.0,51117.0
Carbon,2020.0,51159.0
Centre,2016.0,126496.0
Centre,2020.0,129351.0
Chester,2016.0,367554.0
Chester,2020.0,379376.0
Clarion,2016.0,31394.0
Clarion,2020.0,31221.0
Clearfield,2016.0,64074.0
Clearfield,2020.0,63159.0
Clinton,2016.0,31165.0
Clinton,2020.0,30613.0
Columbia,2016.0,54050.0
Columbia,2020.0,53342.0
Crawford,2016.0,67804.0
Crawford,2020.0,67023.0
Cumberland,2016.0,187841.0
Cumberland,2020.0,193774.0
Dauphin,2016.0,202403.0
Dauphin,2020.0,205351.0
Delaware,2016.0,414375.0
Delaware,2020.0,418456.0
Elk,2016.0,24881.0
Elk,2020.0,24244.0
Erie,2016.0,212468.0
Erie,2020.0,209151.0
Fayette,2016.0,107353.0
Fayette,2020.0,104206.0
Forest,2016.0,7125.0
Forest,2020.0,6749.0
Franklin,2016.0,115150.0
Franklin,2020.0,117578.0
Fulton,2016.0,11479.0
Fulton,2020.0,11570.0
Greene,2016.0,30346.0
Greene,2020.0,29280.0
Huntingdon,2016.0,36870.0
Huntingdon,2020.0,36519.0
Indiana,2016.0,70723.0
Indiana,2020.0,68218.0
Jefferson,2016.0,35052.0
Jefferson,2020.0,34213.0
Juniata,2016.0,18940.0
Juniata,2020.0,18822.0
Lackawanna,2016.0,164940.0
Lackawanna,2020.0,161960.0
Lancaster,2016.0,394587.0
Lancaster,2020.0,405060.0
Lawrence,2016.0,70164.0
Lawrence,2020.0,68593.0
Lebanon,2016.0,103191.0
Lebanon,2020.0,106457.0
Lehigh,2016.0,262636.0
Lehigh,2020.0,266896.0
Luzerne,2016.0,247479.0
Luzerne,2020.0,244740.0
Lycoming,2016.0,91639.0
Lycoming,2020.0,89727.0
McKean,2016.0,33722.0
McKean,2020.0,32575.0
Mercer,2016.0,90691.0
Mercer,2020.0,88667.0
Mifflin,2016.0,35859.0
Mifflin,2020.0,35667.0
Monroe,2016.0,126259.0
Monroe,2020.0,130797.0
Montgomery,2016.0,603170.0
Montgomery,2020.0,614644.0
Montour,2016.0,14331.0
Montour,2020.0,14116.0
Northampton,2016.0,230618.0
Northampton,2020.0,234634.0
Northumberland,2016.0,74685.0
Northumberland,2020.0,72866.0
Perry,2016.0,35270.0
Perry,2020.0,35998.0
Philadelphia,2016.0,1120332.0
Philadelphia,2020.0,1140501.0
Pike,2016.0,43452.0
Pike,2020.0,44845.0
Potter,2016.0,13497.0
Potter,2020.0,13208.0
Schuylkill,2016.0,115571.0
Schuylkill,2020.0,112746.0
Snyder,2016.0,31224.0
Snyder,2020.0,31863.0
Somerset,2016.0,61842.0
Somerset,2020.0,60220.0
Sullivan,2016.0,5447.0
Sullivan,2020.0,5315.0
Susquehanna,2016.0,33334.0
Susquehanna,2020.0,32697.0
Tioga,2016.0,33392.0
Tioga,2020.0,32456.0
Union,2016.0,36097.0
Union,2020.0,36213.0
Venango,2016.0,42437.0
Venango,2020.0,41326.0
Warren,2016.0,32417.0
Warren,2020.0,31617.0
Washington,2016.0,165073.0
Washington,2020.0,164857.0
Wayne,2016.0,41832.0
Wayne,2020.0,42192.0
Westmoreland,2016.0,289881.0
Westmoreland,2020.0,284485.0
Wyoming,2016.0,22163.0
Wyoming,2020.0,21621.0
York,2016.0,334780.0
York,2020.0,341222.0
