County,pop18
Adams,78369
Allegheny,961595
Armstrong,54155
Beaver,134972
Bedford,38649
Berks,306016
Blair,99495
Bradford,47852
Bucks,474049
Butler,145675
Cambria,110411
Cameron,3937
Carbon,51117
Centre,126496
Chester,367554
Clarion,31394
Clearfield,64074
Clinton,31165
Columbia,54050
Crawford,67804
Cumberland,187841
Dauphin,202403
Delaware,414375
Elk,24881
Erie,212468
Fayette,107353
Forest,7125
Franklin,115150
Fulton,11479
Greene,30346
Huntingdon,36870
Indiana,70723
Jefferson,35052
Juniata,18940
Lackawanna,164940
Lancaster,394587
Lawrence,70164
Lebanon,103191
Lehigh,262636
Luzerne,247479
Lycoming,91639
McKean,33722
Mercer,90691
Mifflin,35859
Monroe,126259
Montgomery,603170
Montour,14331
Northampton,230618
Northumberland,74685
Perry,35270
Philadelphia,1120332
Pike,43452
Potter,13497
Schuylkill,115571
Snyder,31224
Somerset,61842
Sullivan,5447
Susquehanna,33334
Tioga,33392
Union,36097
Venango,42437
Warren,32417
Washington,165073
Wayne,41832
Westmoreland,289881
Wyoming,22163
York,334780
