CountyName_,"Percentage_CASTLE, DARRELL L","Percentage_CLINTON, HILLARY","Percentage_JOHNSON, GARY E","Percentage_STEIN, JILL","Percentage_TRUMP, DONALD J","Votes_CASTLE, DARRELL L","Votes_CLINTON, HILLARY","Votes_JOHNSON, GARY E","Votes_STEIN, JILL","Votes_TRUMP, DONALD J",Total Votes
ADAMS,0.40,29.94,2.63,0.85,66.17,191,14219,1251,405,31423,47489.0
ALLEGHENY,0.28,56.55,2.48,0.78,39.91,1818,367617,16102,5097,259480,650114.0
ARMSTRONG,0.41,22.70,2.17,0.45,74.27,130,7178,685,141,23484,31618.0
BEAVER,0.42,38.93,2.42,0.59,57.64,355,32531,2022,496,48167,83571.0
BEDFORD,0.33,15.42,1.10,0.43,82.72,78,3645,260,102,19552,23637.0
BERKS,0.43,42.85,2.87,1.08,52.78,781,78437,5247,1974,96626,183065.0
BLAIR,0.40,25.42,2.29,0.62,71.27,222,13958,1256,338,39135,54909.0
BRADFORD,0.65,24.77,3.47,0.53,70.57,168,6369,893,137,18141,25708.0
BUCKS,0.35,48.52,2.49,0.91,47.74,1199,167060,8556,3121,164361,344297.0
BUTLER,0.39,29.45,3.15,0.63,66.37,382,28584,3062,615,64428,97071.0
CAMBRIA,0.42,29.91,2.01,0.65,67.00,264,18867,1270,413,42258,63072.0
CAMERON,0.32,24.29,2.42,0.27,72.69,7,531,53,6,1589,2186.0
CARBON,0.49,31.05,2.40,0.92,65.13,141,8936,691,265,18743,28776.0
CENTRE,0.45,48.71,3.47,1.05,46.32,344,37088,2644,798,35274,76148.0
CHESTER,0.31,52.71,2.95,0.84,43.20,827,141682,7930,2247,116114,268800.0
CLARION,0.58,24.37,2.67,0.66,71.72,102,4273,469,115,12576,17535.0
CLEARFIELD,0.42,23.93,2.26,0.64,72.75,143,8200,776,220,24932,34271.0
CLINTON,0.24,30.82,3.05,0.79,65.10,37,4744,470,121,10022,15394.0
COLUMBIA,0.50,31.65,3.13,0.94,63.78,142,8934,883,265,18004,28228.0
CRAWFORD,0.58,29.26,2.79,0.72,66.65,217,10971,1046,271,24987,37492.0
CUMBERLAND,0.45,38.72,3.27,0.77,56.80,542,47085,3975,939,69076,121617.0
DAUPHIN,0.48,49.44,2.67,0.90,46.51,628,64706,3498,1177,60863,130872.0
DELAWARE,0.33,59.60,2.01,0.87,37.18,985,177402,5992,2588,110667,297634.0
ELK,0.47,26.71,2.78,0.55,69.49,68,3853,401,79,10025,14426.0
ERIE,0.39,46.99,3.13,0.92,48.57,488,58112,3871,1139,60069,123679.0
FAYETTE,0.27,33.38,1.59,0.43,64.33,146,17946,853,232,34590,53767.0
FOREST,0.54,26.07,2.50,0.79,70.10,13,626,60,19,1683,2401.0
FRANKLIN,0.48,25.05,2.46,0.65,71.37,336,17465,1712,450,49768,69731.0
FULTON,0.52,13.47,1.37,0.55,84.09,35,912,93,37,5694,6771.0
GREENE,0.42,28.43,1.80,0.53,68.82,66,4482,284,83,10849,15764.0
HUNTINGDON,0.77,23.03,2.16,0.49,73.55,152,4539,425,96,14494,19706.0
INDIANA,0.52,30.52,2.48,0.58,65.89,198,11528,936,220,24888,37770.0
JEFFERSON,0.48,18.74,2.22,0.56,78.00,94,3650,432,110,15192,19478.0
JUNIATA,0.84,17.42,1.92,0.68,79.14,88,1821,201,71,8273,10454.0
LACKAWANNA,0.25,50.25,1.87,0.87,46.77,258,51983,1935,896,48384,103456.0
LANCASTER,0.63,37.78,3.55,0.84,57.20,1529,91093,8555,2021,137914,241112.0
LAWRENCE,0.49,34.38,2.13,0.61,62.40,198,14009,870,248,25428,40753.0
LEBANON,0.48,30.65,2.66,0.68,65.53,298,18953,1647,422,40525,61845.0
LEHIGH,0.34,50.51,2.50,0.87,45.77,550,81324,4027,1402,73690,160993.0
LUZERNE,0.24,38.86,1.73,0.87,58.29,327,52451,2339,1178,78688,134983.0
LYCOMING,0.44,25.75,2.59,0.76,70.46,223,13020,1311,384,35627,50565.0
MERCER,0.47,35.81,2.62,0.79,60.30,247,18733,1370,415,31544,52309.0
MIFFLIN,0.40,20.84,2.56,0.43,75.77,74,3877,476,80,14094,18601.0
MONROE,0.27,48.63,2.15,1.09,47.86,188,33918,1502,758,33386,69752.0
MONTGOMERY,0.28,58.91,2.52,0.85,37.44,1236,256082,10934,3704,162731,434687.0
MONTOUR,0.60,33.39,3.35,0.85,61.80,51,2857,287,73,5288,8556.0
McKEAN,0.47,24.70,2.50,0.93,71.40,77,4025,408,151,11635,16296.0
NORTHAMPTON,0.31,46.18,2.57,0.96,49.98,450,66272,3690,1371,71736,143519.0
NORTHUMBERLAND,0.49,26.73,2.54,0.81,69.43,180,9788,931,296,25427,36622.0
PERRY,0.60,21.89,2.93,0.77,73.81,128,4632,619,163,15616,21158.0
PHILADELPHIA,0.15,82.53,1.01,0.94,15.37,1064,584025,7115,6679,108748,707631.0
PIKE,0.27,35.46,1.88,0.87,61.51,71,9256,492,226,16056,26101.0
POTTER,0.40,16.73,2.12,0.45,80.31,31,1302,165,35,6251,7784.0
SCHUYLKILL,0.37,26.67,2.25,0.71,69.99,235,16770,1414,449,44001,62869.0
SNYDER,0.43,24.46,2.78,0.68,71.66,70,4002,455,111,11725,16363.0
SOMERSET,0.49,20.62,1.90,0.46,76.54,174,7376,678,166,27379,35773.0
SULLIVAN,0.51,23.92,2.07,0.45,73.05,16,750,65,14,2291,3136.0
SUSQUEHANNA,0.47,27.16,3.01,1.02,68.34,89,5123,568,192,12891,18863.0
TIOGA,0.67,21.29,2.99,0.76,74.29,123,3901,548,139,13614,18325.0
UNION,0.42,35.38,2.58,0.82,60.81,73,6180,450,143,10622,17468.0
VENANGO,0.58,27.02,3.14,0.64,68.62,136,6309,733,149,16021,23348.0
WARREN,0.72,27.91,2.98,0.71,67.68,133,5145,549,130,12477,18434.0
WASHINGTON,0.36,35.80,2.61,0.72,60.51,366,36322,2643,733,61386,101450.0
WAYNE,0.39,29.18,1.94,0.86,67.63,94,7008,466,206,16244,24018.0
WESTMORELAND,0.31,32.78,2.40,0.51,64.01,557,59669,4367,936,116522,182051.0
WYOMING,0.43,28.99,2.46,0.88,67.23,57,3811,323,116,8837,13144.0
YORK,0.43,33.27,3.15,0.76,62.40,882,68524,6484,1568,128528,205986.0
