CountyName_,"ElectionDayVotes_BIDEN, JOSEPH ROBINETTE JR","ElectionDayVotes_JORGENSEN, JO","ElectionDayVotes_TRUMP, DONALD J.","MailInVotes_BIDEN, JOSEPH ROBINETTE JR","MailInVotes_JORGENSEN, JO","MailInVotes_TRUMP, DONALD J.","Percentage_BIDEN, JOSEPH ROBINETTE JR","Percentage_JORGENSEN, JO","Percentage_TRUMP, DONALD J.","ProvisionalVotes_BIDEN, JOSEPH ROBINETTE JR","ProvisionalVotes_JORGENSEN, JO","ProvisionalVotes_TRUMP, DONALD J.","Votes_BIDEN, JOSEPH ROBINETTE JR","Votes_JORGENSEN, JO","Votes_TRUMP, DONALD J.",Total Votes
ADAMS,6611,544,29942,11436,256,7148,32.20,1.43,66.37,160,10,433,18207,810,37523,56540.0
ALLEGHENY,148171,5085,209459,273080,3076,66575,59.61,1.16,39.23,7814,183,6290,429065,8344,282324,719733.0
ARMSTRONG,4275,340,24233,4108,78,2917,23.25,1.17,75.58,74,6,339,8457,424,27489,36370.0
BEAVER,17304,851,45464,20153,372,8468,40.50,1.32,58.18,665,18,827,38122,1241,54759,94122.0
BEDFORD,1822,121,19637,2498,59,3027,15.84,0.66,83.50,47,2,361,4367,182,23025,27574.0
BERKS,43533,2058,90579,47364,778,17037,45.20,1.42,53.39,1998,73,2120,92895,2909,109736,205540.0
BLAIR,7856,454,37610,9576,193,7115,27.73,1.03,71.24,204,6,581,17636,653,45306,63595.0
BRADFORD,4147,397,18665,3806,109,2599,26.68,1.70,71.62,93,7,336,8046,513,21600,30159.0
BUCKS,77498,2654,145843,124345,1453,38506,51.66,1.05,47.29,2869,48,3018,204712,4155,187367,396234.0
BUTLER,15955,1046,61880,21061,369,11501,33.10,1.27,65.63,492,23,978,37508,1438,74359,113305.0
CAMBRIA,10585,542,41101,10878,209,6429,30.79,1.08,68.13,267,8,555,21730,759,48085,70574.0
CAMERON,279,19,1393,347,10,358,26.05,1.19,72.76,8,0,20,634,29,1771,2434.0
